word,sentiment,weight,freq_corpus
employees,positive,1.764,473
employer,positive,1.546,163
employers,positive,1.633,249
employment,positive,1.571,184
empty,negative,1.796,553
enable,positive,1.587,199
encounter,ambiguous,1.372,69
encourage,positive,1.907,949
encouraged,positive,1.718,377
encourages,positive,1.525,147
encouraging,positive,1.856,742
end,negative,2.363,8761
ended,negative,1.94,1114
endemic,negative,1.797,556
ending,negative,1.941,1119
endless,negative,1.762,467
ends,negative,1.962,1240
enemy,negative,1.584,196
energy,positive,1.847,708
enforce,positive,1.73,401
enforced,positive,1.663,288
enforcement,ambiguous,1.51,136
enforcing,positive,1.588,200
engage,positive,1.595,207
engineer,positive,1.397,78
enjoy,positive,2.034,1763
enjoyed,positive,1.707,357
enjoying,positive,1.75,441
enormous,negative,1.537,156
enough,negative,2.371,9115
ensure,positive,1.911,967
ensuring,positive,1.583,195
enter,positive,1.952,1184
entered,positive,1.625,240
entering,positive,1.752,446
entertainment,positive,1.564,178
entire,positive,2.0,1498
entirely,positive,1.856,741
entourage,positive,1.421,88
entrance,positive,1.508,135
entreprise,positive,1.404,81
entry,positive,1.915,988
environment,positive,1.67,299
epidemic,negative,1.663,288
epidemiologists,positive,1.443,98
epidemiology,positive,1.514,139
episode,ambiguous,1.706,356
equal,positive,1.717,375
equally,positive,1.726,392
equipment,positive,1.736,412
equity,positive,1.667,294
equivalent,ambiguous,1.698,343
era,ambiguous,1.635,252
eradicate,positive,1.652,273
eradicated,positive,1.692,333
error,negative,1.588,200
escape,negative,1.853,728
essential,positive,1.93,1062
essentially,positive,1.714,370
established,positive,1.625,240
establishment,negative,1.637,254
estimate,positive,1.634,250
estimated,positive,1.685,321
estimates,positive,1.579,191
ethical,positive,1.544,161
ethics,positive,1.6,212
EU,ambiguous,2.226,4490
eugenics,negative,1.421,88
evade,negative,1.608,220
evades,negative,1.567,180
evading,negative,1.464,109
event,positive,2.002,1512
events,ambiguous,2.038,1803
eventually,ambiguous,1.853,730
ever,ambiguous,2.298,6376
everybody,positive,1.909,959
everyday,positive,1.782,516
everyones,positive,1.816,610
everytime,positive,1.58,192
everywhere,positive,1.971,1298
evidence,ambiguous,2.247,4982
evil,negative,1.89,875
evolution,ambiguous,1.572,185
evolve,ambiguous,1.507,134
ex,negative,1.823,629
exact,positive,1.799,561
exactly,positive,2.176,3531
examine,positive,1.407,82
example,positive,2.012,1585
examples,positive,1.64,258
exams,negative,1.529,150
excellent,positive,1.892,884
except,ambiguous,2.022,1660
exception,negative,1.551,167
exceptions,negative,1.457,105
excess,negative,1.776,500
exchange,positive,1.602,214
excited,positive,1.73,400
exciting,positive,1.57,183
excluded,negative,1.56,174
exclusive,positive,1.468,111
excuse,negative,1.929,1055
excuses,negative,1.693,334
executive,positive,1.529,150
exemple,positive,1.582,194
exempt,positive,1.819,617
exemption,positive,1.748,438
exemptions,positive,1.537,156
exercise,positive,1.797,555
exhausted,negative,1.75,442
exhausting,negative,1.455,104
exist,positive,1.915,988
existed,positive,1.59,202
existence,positive,1.615,228
existing,positive,1.808,586
exists,positive,1.731,403
exit,ambiguous,1.62,234
expect,positive,1.056,14
expected,positive,0.951,8
experience,positive,1.069,15
experienced,positive,1.663,288
experiences,positive,1.47,112
experiencing,positive,1.559,173
experiment,negative,1.692,333
experimental,negative,2.021,1659
expert,positive,1.026,12
expertise,positive,1.461,107
experts,positive,1.093,17
explain,positive,1.104,18
explanation,positive,0.784,3
exponential,negative,0.5,0
extend,positive,1.652,273
extended,positive,1.745,430
extending,positive,1.447,100
extent,positive,1.69,329
extra,positive,2.096,2387
extraordinary,positive,1.561,175
extreme,negative,1.834,664
extremely,negative,1.991,1432
fab,positive,1.635,252
fabulous,positive,1.57,183
faced,negative,1.639,256
faces,negative,1.703,350
facilities,positive,1.634,250
